ID,Long,Lat,c,phi,alpha
1,109.7016,-7.3923,19,34,34
2,109.4854,-7.4902,22,12,23
3,109.7683,-7.3683,32,15,22
4,109.5372,-7.4449,18,19,19
5,109.8194,-7.2501,34,20,32
6,109.4483,-7.4665,11,14,15
7,109.7458,-7.3899,15,17,14
8,109.6478,-7.3733,19,19,17
9,109.0789,-7.4088,20,37,22
10,109.0730,-7.3674,22,15,43
11,109.1508,-7.4090,29,18,42
12,109.1111,-7.5302,23,22,39
13,109.2074,-7.3901,24,23,32
14,109.2334,-7.4264,34,17,18
15,109.4332,-7.4200,20,20,19
16,109.3742,-7.3917,36,22,26
17,109.4130,-7.4242,13,40,25
18,109.4461,-7.3147,17,18,28
19,109.3912,-7.4361,21,21,29
20,109.9447,-7.2931,22,25,32
21,109.9594,-7.3890,24,26,31
22,109.8600,-7.4219,31,20,18
23,109.9269,-7.2308,25,23,15
24,109.8983,-7.4178,26,25,20
25,109.9169,-7.3008,36,43,21
26,109.9067,-7.3681,22,21,28
