	long	lat	c	phi	alpha	beta	moving_area	soil_weight	normal_stress	strength_stress	shear_stress	safety_factor
1	109.7016	-7.3923	19	34	34	31	137.94	137943.96	857.17	597.17	515.04	1.16
2	109.4854	-7.4902	22	12	23	20	113.33	113326.27	939.69	221.74	342.02	0.65
3	109.7683	-7.3683	32	15	22	19	111.82	111816.67	945.52	285.35	325.57	0.88
4	109.5372	-7.4449	18	19	19	16	107.85	107852.64	961.26	348.99	275.64	1.27
5	109.8194	-7.2501	34	20	32	29	132.16	132160.83	874.62	352.34	484.81	0.73
6	109.4483	-7.4665	11	14	15	12	103.75	103751.49	978.15	254.88	207.91	1.23
7	109.7458	-7.3899	15	17	14	11	102.92	102918.11	981.63	315.11	190.81	1.65
8	109.6478	-7.3733	19	19	17	14	105.64	105643.33	970.3	353.1	241.92	1.46
9	109.0789	-7.4088	20	37	22	19	111.82	111816.67	945.52	732.5	325.57	2.25
10	109.0730	-7.3674	22	15	43	40	174.97	174968.98	766.04	227.26	642.79	0.35
11	109.1508	-7.4090	29	18	42	39	169.73	169733.06	777.15	281.51	629.32	0.45
12	109.1111	-7.5302	23	22	39	36	155.91	155912.97	809.02	349.86	587.79	0.6
13	109.2074	-7.3901	24	23	32	29	132.16	132160.83	874.62	395.25	484.81	0.82
14	109.2334	-7.4264	34	17	18	15	106.71	106706.87	965.93	329.31	258.82	1.27
15	109.4332	-7.4200	20	20	19	16	107.85	107852.64	961.26	369.87	275.64	1.34
16	109.3742	-7.3917	36	22	26	23	118.48	118483.05	920.5	407.91	390.73	1.04
17	109.4130	-7.4242	13	40	25	22	116.65	116654.35	927.18	791.0	374.61	2.11
18	109.4461	-7.3147	17	18	28	25	122.5	122498.81	906.31	311.48	422.62	0.74
19	109.3912	-7.4361	21	21	29	26	124.7	124699.02	898.79	366.01	438.37	0.83
20	109.9447	-7.2931	22	25	32	29	132.16	132160.83	874.62	429.84	484.81	0.89
21	109.9594	-7.3890	24	26	31	28	129.52	129521.53	882.95	454.64	469.47	0.97
22	109.8600	-7.4219	31	20	18	15	106.71	106706.87	965.93	382.57	258.82	1.48
23	109.9269	-7.2308	25	23	15	12	103.75	103751.49	978.15	440.2	207.91	2.12
24	109.8983	-7.4178	26	25	20	17	109.08	109083.83	956.3	471.93	292.37	1.61
25	109.9169	-7.3008	36	43	21	12	320.86	320862.26	978.15	948.14	207.91	4.56
26	109.9067	-7.3681	22	21	28	12	597.78	597779.6	978.15	397.48	207.91	1.91
